Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,7000,Event -1,0.12182608484466341,0,0.0,0.05
42,7000,Event -2,0.3907399032608678,-1,0.0,0.05
42,7000,Event -3,0.13427973672468885,-2,0.0,0.05
42,7000,Event -4,0.06283086860275085,-3,0.0,0.05
42,7000,Event -5,0.09595616476005446,-4,0.0,0.05
42,7000,Event -6,0.08101905764759885,-5,0.0,0.05
42,7000,Event -7,0.09509541804748972,-6,0.0,0.05
42,7000,Event -8,0.06324913264912718,-7,0.0,0.05
42,7000,Event -9,0.06422035556056298,-8,0.0,0.05
42,7000,Event -10,0.0443325252898504,-9,0.0,0.05
42,7000,Event -11,0.05138424621369922,-10,0.0,0.05
42,7000,Event -12,0.06085808657268617,-11,0.0,0.05
42,7000,Event -13,0.05695666453601296,-12,0.0,0.05
42,7000,Event -14,0.053012139255488824,-13,0.0,0.05
42,7000,Event -15,0.06507172958190857,-14,0.0,0.05
42,7000,Event -16,0.057417716149395066,-15,0.0,0.05
42,7000,Event -17,0.05995320986907196,-16,0.0,0.05
42,7000,Event -18,0.05862177099517171,-17,0.0,0.05
42,7000,Event -19,0.039075667801948155,-18,0.0,0.05
42,7000,Event -1,0.12182608484466341,0,0.0,0.075
42,7000,Event -2,0.3907399032608678,-1,0.0,0.075
42,7000,Event -3,0.13427973672468885,-2,0.0,0.075
42,7000,Event -4,0.06283086860275085,-3,0.0,0.075
42,7000,Event -5,0.09595616476005446,-4,0.0,0.075
42,7000,Event -6,0.08101905764759885,-5,0.0,0.075
42,7000,Event -7,0.09509541804748972,-6,0.0,0.075
42,7000,Event -8,0.06324913264912718,-7,0.0,0.075
42,7000,Event -9,0.06422035556056298,-8,0.0,0.075
42,7000,Event -10,0.0443325252898504,-9,0.0,0.075
42,7000,Event -11,0.05138424621369922,-10,0.0,0.075
42,7000,Event -12,0.06085808657268617,-11,0.0,0.075
42,7000,Event -13,0.05695666453601296,-12,0.0,0.075
42,7000,Event -14,0.053012139255488824,-13,0.0,0.075
42,7000,Event -15,0.06507172958190857,-14,0.0,0.075
42,7000,Event -16,0.057417716149395066,-15,0.0,0.075
42,7000,Event -17,0.05995320986907196,-16,0.0,0.075
42,7000,Event -18,0.05862177099517171,-17,0.0,0.075
42,7000,Pruned Events,0.039075667801948155,1,0.0,0.075
42,7000,Event -1,0.08157188890851748,0,1.0,0.05
42,7000,Event -2,0.3253604015114601,-1,1.0,0.05
42,7000,Event -3,0.20066421594232411,-2,1.0,0.05
42,7000,Event -4,0.05715516757973978,-3,1.0,0.05
42,7000,Event -5,0.06474727258760664,-4,1.0,0.05
42,7000,Event -6,0.09931397563446656,-5,1.0,0.05
42,7000,Event -7,0.0765952305247491,-6,1.0,0.05
42,7000,Event -8,0.0870707790066317,-7,1.0,0.05
42,7000,Event -9,0.06292719583492964,-8,1.0,0.05
42,7000,Event -10,0.05458472443787773,-9,1.0,0.05
42,7000,Event -11,0.047256816456102864,-10,1.0,0.05
42,7000,Event -12,0.05155968435703932,-11,1.0,0.05
42,7000,Event -13,0.05964060483401227,-12,1.0,0.05
42,7000,Event -14,0.054907150862081235,-13,1.0,0.05
42,7000,Event -15,0.05457043646492396,-14,1.0,0.05
42,7000,Event -16,0.06403787198242775,-15,1.0,0.05
42,7000,Event -17,0.061369791657276025,-16,1.0,0.05
42,7000,Event -18,0.04903216875233509,-17,1.0,0.05
42,7000,Event -19,0.044137403579805,-18,1.0,0.05
42,7000,Event -1,0.08157188890851748,0,1.0,0.075
42,7000,Event -2,0.3253604015114601,-1,1.0,0.075
42,7000,Event -3,0.20066421594232411,-2,1.0,0.075
42,7000,Event -4,0.05715516757973978,-3,1.0,0.075
42,7000,Event -5,0.06474727258760664,-4,1.0,0.075
42,7000,Event -6,0.09931397563446656,-5,1.0,0.075
42,7000,Event -7,0.0765952305247491,-6,1.0,0.075
42,7000,Event -8,0.0870707790066317,-7,1.0,0.075
42,7000,Event -9,0.06292719583492964,-8,1.0,0.075
42,7000,Event -10,0.05458472443787773,-9,1.0,0.075
42,7000,Event -11,0.047256816456102864,-10,1.0,0.075
42,7000,Event -12,0.05155968435703932,-11,1.0,0.075
42,7000,Event -13,0.05964060483401227,-12,1.0,0.075
42,7000,Event -14,0.054907150862081235,-13,1.0,0.075
42,7000,Event -15,0.05457043646492396,-14,1.0,0.075
42,7000,Event -16,0.06403787198242775,-15,1.0,0.075
42,7000,Event -17,0.061369791657276025,-16,1.0,0.075
42,7000,Event -18,0.04903216875233509,-17,1.0,0.075
42,7000,Pruned Events,0.044137403579805,1,1.0,0.075
42,7000,Event -1,0.0975596722951755,0,2.0,0.05
42,7000,Event -2,0.34957333788975326,-1,2.0,0.05
42,7000,Event -3,0.15218022986077495,-2,2.0,0.05
42,7000,Event -4,0.09502148598468568,-3,2.0,0.05
42,7000,Event -5,0.06692429395412111,-4,2.0,0.05
42,7000,Event -6,0.07081760563784151,-5,2.0,0.05
42,7000,Event -7,0.09501975446646888,-6,2.0,0.05
42,7000,Event -8,0.07057140180305338,-7,2.0,0.05
42,7000,Event -9,0.08536156022002758,-8,2.0,0.05
42,7000,Event -10,0.05280146741284648,-9,2.0,0.05
42,7000,Event -11,0.05777671095859336,-10,2.0,0.05
42,7000,Event -12,0.04772048263354594,-11,2.0,0.05
42,7000,Event -13,0.04938512280741806,-12,2.0,0.05
42,7000,Event -14,0.05700899682116797,-13,2.0,0.05
42,7000,Event -15,0.05620052678894386,-14,2.0,0.05
42,7000,Event -16,0.05395408645410355,-15,2.0,0.05
42,7000,Event -17,0.0689736272325418,-16,2.0,0.05
42,7000,Event -18,0.04838936752922864,-17,2.0,0.05
42,7000,Event -19,0.03209106835249176,-18,2.0,0.05
42,7000,Event -1,0.0975596722951755,0,2.0,0.075
42,7000,Event -2,0.34957333788975326,-1,2.0,0.075
42,7000,Event -3,0.15218022986077495,-2,2.0,0.075
42,7000,Event -4,0.09502148598468568,-3,2.0,0.075
42,7000,Event -5,0.06692429395412111,-4,2.0,0.075
42,7000,Event -6,0.07081760563784151,-5,2.0,0.075
42,7000,Event -7,0.09501975446646888,-6,2.0,0.075
42,7000,Event -8,0.07057140180305338,-7,2.0,0.075
42,7000,Event -9,0.08536156022002758,-8,2.0,0.075
42,7000,Event -10,0.05280146741284648,-9,2.0,0.075
42,7000,Event -11,0.05777671095859336,-10,2.0,0.075
42,7000,Event -12,0.04772048263354594,-11,2.0,0.075
42,7000,Event -13,0.04938512280741806,-12,2.0,0.075
42,7000,Event -14,0.05700899682116797,-13,2.0,0.075
42,7000,Event -15,0.05620052678894386,-14,2.0,0.075
42,7000,Event -16,0.05395408645410355,-15,2.0,0.075
42,7000,Event -17,0.0689736272325418,-16,2.0,0.075
42,7000,Event -18,0.04838936752922864,-17,2.0,0.075
42,7000,Pruned Events,0.03209106835249176,1,2.0,0.075
42,7000,Event -1,0.05488244673807959,0,3.0,0.05
42,7000,Event -2,0.3482919842058526,-1,3.0,0.05
42,7000,Event -3,0.16665726605557707,-2,3.0,0.05
42,7000,Event -4,0.07152086272043182,-3,3.0,0.05
42,7000,Event -5,0.09530890697136911,-4,3.0,0.05
42,7000,Event -6,0.06972852840667436,-5,3.0,0.05
42,7000,Event -7,0.06828449462097973,-6,3.0,0.05
42,7000,Event -8,0.08689892091652764,-7,3.0,0.05
42,7000,Event -9,0.06968399609514292,-8,3.0,0.05
42,7000,Event -10,0.07250378629671614,-9,3.0,0.05
42,7000,Event -11,0.05544660120512345,-10,3.0,0.05
42,7000,Event -12,0.05605368033354599,-11,3.0,0.05
42,7000,Event -13,0.04487666397078172,-12,3.0,0.05
42,7000,Event -14,0.04613302597035099,-13,3.0,0.05
42,7000,Event -15,0.056099795263955345,-14,3.0,0.05
42,7000,Event -16,0.053342837051290996,-15,3.0,0.05
42,7000,Event -17,0.056830472093666415,-16,3.0,0.05
42,7000,Event -18,0.05688346974159242,-17,3.0,0.05
42,7000,Event -19,0.03590133620196134,-18,3.0,0.05
42,7000,Event -1,0.05488244673807959,0,3.0,0.075
42,7000,Event -2,0.3482919842058526,-1,3.0,0.075
42,7000,Event -3,0.16665726605557707,-2,3.0,0.075
42,7000,Event -4,0.07152086272043182,-3,3.0,0.075
42,7000,Event -5,0.09530890697136911,-4,3.0,0.075
42,7000,Event -6,0.06972852840667436,-5,3.0,0.075
42,7000,Event -7,0.06828449462097973,-6,3.0,0.075
42,7000,Event -8,0.08689892091652764,-7,3.0,0.075
42,7000,Event -9,0.06968399609514292,-8,3.0,0.075
42,7000,Event -10,0.07250378629671614,-9,3.0,0.075
42,7000,Event -11,0.05544660120512345,-10,3.0,0.075
42,7000,Event -12,0.05605368033354599,-11,3.0,0.075
42,7000,Event -13,0.04487666397078172,-12,3.0,0.075
42,7000,Event -14,0.04613302597035099,-13,3.0,0.075
42,7000,Event -15,0.056099795263955345,-14,3.0,0.075
42,7000,Event -16,0.053342837051290996,-15,3.0,0.075
42,7000,Event -17,0.056830472093666415,-16,3.0,0.075
42,7000,Event -18,0.05688346974159242,-17,3.0,0.075
42,7000,Pruned Events,0.03590133620196134,1,3.0,0.075
42,7000,Event -1,0.05473705018777739,0,4.0,0.05
42,7000,Event -2,0.3660491538821221,-1,4.0,0.05
42,7000,Event -3,0.16022232030683525,-2,4.0,0.05
42,7000,Event -4,0.07386301230062929,-3,4.0,0.05
42,7000,Event -5,0.07855510520815079,-4,4.0,0.05
42,7000,Event -6,0.10069051470133814,-5,4.0,0.05
42,7000,Event -7,0.06496682216476878,-6,4.0,0.05
42,7000,Event -8,0.06211362142803026,-7,4.0,0.05
42,7000,Event -9,0.0851651547863436,-8,4.0,0.05
42,7000,Event -10,0.057764829780426186,-9,4.0,0.05
42,7000,Event -11,0.07472123072243456,-10,4.0,0.05
42,7000,Event -12,0.05517583681850984,-11,4.0,0.05
42,7000,Event -13,0.053290196001702796,-12,4.0,0.05
42,7000,Event -14,0.041736550211232494,-13,4.0,0.05
42,7000,Event -15,0.047683710275779646,-14,4.0,0.05
42,7000,Event -16,0.05424824763207249,-15,4.0,0.05
42,7000,Event -17,0.057447048427320256,-16,4.0,0.05
42,7000,Event -18,0.04429807182512011,-17,4.0,0.05
42,7000,Event -19,0.04269810186113454,-18,4.0,0.05
42,7000,Event -1,0.05473705018777739,0,4.0,0.075
42,7000,Event -2,0.3660491538821221,-1,4.0,0.075
42,7000,Event -3,0.16022232030683525,-2,4.0,0.075
42,7000,Event -4,0.07386301230062929,-3,4.0,0.075
42,7000,Event -5,0.07855510520815079,-4,4.0,0.075
42,7000,Event -6,0.10069051470133814,-5,4.0,0.075
42,7000,Event -7,0.06496682216476878,-6,4.0,0.075
42,7000,Event -8,0.06211362142803026,-7,4.0,0.075
42,7000,Event -9,0.0851651547863436,-8,4.0,0.075
42,7000,Event -10,0.057764829780426186,-9,4.0,0.075
42,7000,Event -11,0.07472123072243456,-10,4.0,0.075
42,7000,Event -12,0.05517583681850984,-11,4.0,0.075
42,7000,Event -13,0.053290196001702796,-12,4.0,0.075
42,7000,Event -14,0.041736550211232494,-13,4.0,0.075
42,7000,Event -15,0.047683710275779646,-14,4.0,0.075
42,7000,Event -16,0.05424824763207249,-15,4.0,0.075
42,7000,Event -17,0.057447048427320256,-16,4.0,0.075
42,7000,Event -18,0.04429807182512011,-17,4.0,0.075
42,7000,Pruned Events,0.04269810186113454,1,4.0,0.075
42,7000,Event -1,0.07195310295526573,0,5.0,0.05
42,7000,Event -2,0.3596270098151805,-1,5.0,0.05
42,7000,Event -3,0.17394151741117922,-2,5.0,0.05
42,7000,Event -4,0.07264698530050258,-3,5.0,0.05
42,7000,Event -5,0.08118119780013738,-4,5.0,0.05
42,7000,Event -6,0.08318699946653908,-5,5.0,0.05
42,7000,Event -7,0.0974695967115908,-6,5.0,0.05
42,7000,Event -8,0.05997846636421742,-7,5.0,0.05
42,7000,Event -9,0.06344048170379568,-8,5.0,0.05
42,7000,Event -10,0.07412768635993956,-9,5.0,0.05
42,7000,Event -11,0.06332217341432829,-10,5.0,0.05
42,7000,Event -12,0.07525087314774437,-11,5.0,0.05
42,7000,Event -13,0.05343053941121724,-12,5.0,0.05
42,7000,Event -14,0.051060772061113646,-13,5.0,0.05
42,7000,Event -15,0.044130022675464335,-14,5.0,0.05
42,7000,Event -16,0.046837466179951714,-15,5.0,0.05
42,7000,Event -17,0.05981257752563052,-16,5.0,0.05
42,7000,Event -18,0.04422208588477682,-17,5.0,0.05
42,7000,Event -19,0.02654137644497001,-18,5.0,0.05
42,7000,Event -1,0.07195310295526573,0,5.0,0.075
42,7000,Event -2,0.3596270098151805,-1,5.0,0.075
42,7000,Event -3,0.17394151741117922,-2,5.0,0.075
42,7000,Event -4,0.07264698530050258,-3,5.0,0.075
42,7000,Event -5,0.08118119780013738,-4,5.0,0.075
42,7000,Event -6,0.08318699946653908,-5,5.0,0.075
42,7000,Event -7,0.0974695967115908,-6,5.0,0.075
42,7000,Event -8,0.05997846636421742,-7,5.0,0.075
42,7000,Event -9,0.06344048170379568,-8,5.0,0.075
42,7000,Event -10,0.07412768635993956,-9,5.0,0.075
42,7000,Event -11,0.06332217341432829,-10,5.0,0.075
42,7000,Event -12,0.07525087314774437,-11,5.0,0.075
42,7000,Event -13,0.05343053941121724,-12,5.0,0.075
42,7000,Event -14,0.051060772061113646,-13,5.0,0.075
42,7000,Event -15,0.044130022675464335,-14,5.0,0.075
42,7000,Event -16,0.046837466179951714,-15,5.0,0.075
42,7000,Event -17,0.05981257752563052,-16,5.0,0.075
42,7000,Event -18,0.04422208588477682,-17,5.0,0.075
42,7000,Pruned Events,0.02654137644497001,1,5.0,0.075
42,7000,Event -1,0.08604504542760025,0,6.0,0.05
42,7000,Event -2,0.36033431455617104,-1,6.0,0.05
42,7000,Event -3,0.16618404863162414,-2,6.0,0.05
42,7000,Event -4,0.07342071134923732,-3,6.0,0.05
42,7000,Event -5,0.08030572945941038,-4,6.0,0.05
42,7000,Event -6,0.08394691297413649,-5,6.0,0.05
42,7000,Event -7,0.07835446769619697,-6,6.0,0.05
42,7000,Event -8,0.08858053952683916,-7,6.0,0.05
42,7000,Event -9,0.05991429576431864,-8,6.0,0.05
42,7000,Event -10,0.05020380090567492,-9,6.0,0.05
42,7000,Event -11,0.07513566839559277,-10,6.0,0.05
42,7000,Event -12,0.06091514658997464,-11,6.0,0.05
42,7000,Event -13,0.06929989606829744,-12,6.0,0.05
42,7000,Event -14,0.04845669086621202,-13,6.0,0.05
42,7000,Event -15,0.05018268378367685,-14,6.0,0.05
42,7000,Event -16,0.039229394885996145,-15,6.0,0.05
42,7000,Event -17,0.0472481648516775,-16,6.0,0.05
42,7000,Event -18,0.04513666971195477,-17,6.0,0.05
42,7000,Event -19,0.03229538993602388,-18,6.0,0.05
42,7000,Event -1,0.08604504542760025,0,6.0,0.075
42,7000,Event -2,0.36033431455617104,-1,6.0,0.075
42,7000,Event -3,0.16618404863162414,-2,6.0,0.075
42,7000,Event -4,0.07342071134923732,-3,6.0,0.075
42,7000,Event -5,0.08030572945941038,-4,6.0,0.075
42,7000,Event -6,0.08394691297413649,-5,6.0,0.075
42,7000,Event -7,0.07835446769619697,-6,6.0,0.075
42,7000,Event -8,0.08858053952683916,-7,6.0,0.075
42,7000,Event -9,0.05991429576431864,-8,6.0,0.075
42,7000,Event -10,0.05020380090567492,-9,6.0,0.075
42,7000,Event -11,0.07513566839559277,-10,6.0,0.075
42,7000,Event -12,0.06091514658997464,-11,6.0,0.075
42,7000,Event -13,0.06929989606829744,-12,6.0,0.075
42,7000,Event -14,0.04845669086621202,-13,6.0,0.075
42,7000,Event -15,0.05018268378367685,-14,6.0,0.075
42,7000,Event -16,0.039229394885996145,-15,6.0,0.075
42,7000,Event -17,0.0472481648516775,-16,6.0,0.075
42,7000,Event -18,0.04513666971195477,-17,6.0,0.075
42,7000,Pruned Events,0.03229538993602388,1,6.0,0.075
42,7000,Event -1,0.07069924717141478,0,7.0,0.05
42,7000,Event -2,0.35762346345365653,-1,7.0,0.05
42,7000,Event -3,0.17627740737093628,-2,7.0,0.05
42,7000,Event -4,0.0711360382194481,-3,7.0,0.05
42,7000,Event -5,0.0811057448784025,-4,7.0,0.05
42,7000,Event -6,0.08277462122424105,-5,7.0,0.05
42,7000,Event -7,0.0790235020201853,-6,7.0,0.05
42,7000,Event -8,0.07106316777725082,-7,7.0,0.05
42,7000,Event -9,0.08614689906706244,-8,7.0,0.05
42,7000,Event -10,0.046049600530292605,-9,7.0,0.05
42,7000,Event -11,0.054466129971750266,-10,7.0,0.05
42,7000,Event -12,0.07379703022592962,-11,7.0,0.05
42,7000,Event -13,0.0573216351888258,-12,7.0,0.05
42,7000,Event -14,0.06441078284074306,-13,7.0,0.05
42,7000,Event -15,0.049340323530781126,-14,7.0,0.05
42,7000,Event -16,0.044870835143078394,-15,7.0,0.05
42,7000,Event -17,0.04095511213516483,-16,7.0,0.05
42,7000,Event -18,0.031105105768441166,-17,7.0,0.05
42,7000,Event -19,0.03237711950412381,-18,7.0,0.05
42,7000,Event -1,0.07069924717141478,0,7.0,0.075
42,7000,Event -2,0.35762346345365653,-1,7.0,0.075
42,7000,Event -3,0.17627740737093628,-2,7.0,0.075
42,7000,Event -4,0.0711360382194481,-3,7.0,0.075
42,7000,Event -5,0.0811057448784025,-4,7.0,0.075
42,7000,Event -6,0.08277462122424105,-5,7.0,0.075
42,7000,Event -7,0.0790235020201853,-6,7.0,0.075
42,7000,Event -8,0.07106316777725082,-7,7.0,0.075
42,7000,Event -9,0.08614689906706244,-8,7.0,0.075
42,7000,Event -10,0.046049600530292605,-9,7.0,0.075
42,7000,Event -11,0.054466129971750266,-10,7.0,0.075
42,7000,Event -12,0.07379703022592962,-11,7.0,0.075
42,7000,Event -13,0.0573216351888258,-12,7.0,0.075
42,7000,Event -14,0.06441078284074306,-13,7.0,0.075
42,7000,Event -15,0.049340323530781126,-14,7.0,0.075
42,7000,Event -16,0.044870835143078394,-15,7.0,0.075
42,7000,Event -17,0.04095511213516483,-16,7.0,0.075
42,7000,Event -18,0.031105105768441166,-17,7.0,0.075
42,7000,Pruned Events,0.03237711950412381,1,7.0,0.075
42,7000,Event -1,0.08763123553874656,0,8.0,0.05
42,7000,Event -2,0.35519205465213216,-1,8.0,0.05
42,7000,Event -3,0.1708062683432184,-2,8.0,0.05
42,7000,Event -4,0.08446747729059673,-3,8.0,0.05
42,7000,Event -5,0.07974143839872914,-4,8.0,0.05
42,7000,Event -6,0.08512349052428844,-5,8.0,0.05
42,7000,Event -7,0.07814284258412005,-6,8.0,0.05
42,7000,Event -8,0.07360560670906004,-7,8.0,0.05
42,7000,Event -9,0.07286507499062747,-8,8.0,0.05
42,7000,Event -10,0.07325027096228452,-9,8.0,0.05
42,7000,Event -11,0.051913307862704976,-10,8.0,0.05
42,7000,Event -12,0.05568587910675986,-11,8.0,0.05
42,7000,Event -13,0.070728141883929,-12,8.0,0.05
42,7000,Event -14,0.054332938713552444,-13,8.0,0.05
42,7000,Event -15,0.06618429224456619,-14,8.0,0.05
42,7000,Event -16,0.04499742040682541,-15,8.0,0.05
42,7000,Event -17,0.04660373392057201,-16,8.0,0.05
42,7000,Event -18,0.02328989912127204,-17,8.0,0.05
42,7000,Pruned Events,0.017832978705243363,1,8.0,0.05
42,7000,Event -1,0.08763123553874656,0,8.0,0.075
42,7000,Event -2,0.35519205465213216,-1,8.0,0.075
42,7000,Event -3,0.1708062683432184,-2,8.0,0.075
42,7000,Event -4,0.08446747729059673,-3,8.0,0.075
42,7000,Event -5,0.07974143839872914,-4,8.0,0.075
42,7000,Event -6,0.08512349052428844,-5,8.0,0.075
42,7000,Event -7,0.07814284258412005,-6,8.0,0.075
42,7000,Event -8,0.07360560670906004,-7,8.0,0.075
42,7000,Event -9,0.07286507499062747,-8,8.0,0.075
42,7000,Event -10,0.07325027096228452,-9,8.0,0.075
42,7000,Event -11,0.051913307862704976,-10,8.0,0.075
42,7000,Event -12,0.05568587910675986,-11,8.0,0.075
42,7000,Event -13,0.070728141883929,-12,8.0,0.075
42,7000,Event -14,0.054332938713552444,-13,8.0,0.075
42,7000,Event -15,0.06618429224456619,-14,8.0,0.075
42,7000,Event -16,0.04499742040682541,-15,8.0,0.075
42,7000,Event -17,0.04660373392057201,-16,8.0,0.075
42,7000,Event -18,0.02328989912127204,-17,8.0,0.075
42,7000,Pruned Events,0.017832978705243363,1,8.0,0.075
42,7000,Event -1,0.10039223124059257,0,9.0,0.05
42,7000,Event -2,0.36246197157378846,-1,9.0,0.05
42,7000,Event -3,0.16579531896689426,-2,9.0,0.05
42,7000,Event -4,0.07712924763447987,-3,9.0,0.05
42,7000,Event -5,0.08885355554539325,-4,9.0,0.05
42,7000,Event -6,0.08267828922005012,-5,9.0,0.05
42,7000,Event -7,0.07966166425860179,-6,9.0,0.05
42,7000,Event -8,0.07091133211335109,-7,9.0,0.05
42,7000,Event -9,0.07273368937341222,-8,9.0,0.05
42,7000,Event -10,0.05783357261908494,-9,9.0,0.05
42,7000,Event -11,0.07638186067970687,-10,9.0,0.05
42,7000,Event -12,0.051681750351454676,-11,9.0,0.05
42,7000,Event -13,0.052477346351467107,-12,9.0,0.05
42,7000,Event -14,0.06450104265975928,-13,9.0,0.05
42,7000,Event -15,0.05468934746702128,-14,9.0,0.05
42,7000,Event -16,0.05908769166774733,-15,9.0,0.05
42,7000,Event -17,0.04613675055193987,-16,9.0,0.05
42,7000,Event -18,0.032413286830626366,-17,9.0,0.05
42,7000,Pruned Events,0.017772675558935358,1,9.0,0.05
42,7000,Event -1,0.10039223124059257,0,9.0,0.075
42,7000,Event -2,0.36246197157378846,-1,9.0,0.075
42,7000,Event -3,0.16579531896689426,-2,9.0,0.075
42,7000,Event -4,0.07712924763447987,-3,9.0,0.075
42,7000,Event -5,0.08885355554539325,-4,9.0,0.075
42,7000,Event -6,0.08267828922005012,-5,9.0,0.075
42,7000,Event -7,0.07966166425860179,-6,9.0,0.075
42,7000,Event -8,0.07091133211335109,-7,9.0,0.075
42,7000,Event -9,0.07273368937341222,-8,9.0,0.075
42,7000,Event -10,0.05783357261908494,-9,9.0,0.075
42,7000,Event -11,0.07638186067970687,-10,9.0,0.075
42,7000,Event -12,0.051681750351454676,-11,9.0,0.075
42,7000,Event -13,0.052477346351467107,-12,9.0,0.075
42,7000,Event -14,0.06450104265975928,-13,9.0,0.075
42,7000,Event -15,0.05468934746702128,-14,9.0,0.075
42,7000,Event -16,0.05908769166774733,-15,9.0,0.075
42,7000,Event -17,0.04613675055193987,-16,9.0,0.075
42,7000,Event -18,0.032413286830626366,-17,9.0,0.075
42,7000,Pruned Events,0.017772675558935358,1,9.0,0.075
42,7000,Event -1,0.08806917744970774,0,10.0,0.05
42,7000,Event -2,0.3460628165999692,-1,10.0,0.05
42,7000,Event -3,0.174954439342107,-2,10.0,0.05
42,7000,Event -4,0.07344996778703657,-3,10.0,0.05
42,7000,Event -5,0.08535805007861663,-4,10.0,0.05
42,7000,Event -6,0.09136559278566814,-5,10.0,0.05
42,7000,Event -7,0.07770841365288962,-6,10.0,0.05
42,7000,Event -8,0.07250673875978758,-7,10.0,0.05
42,7000,Event -9,0.07114407087123625,-8,10.0,0.05
42,7000,Event -10,0.05781154586373813,-9,10.0,0.05
42,7000,Event -11,0.0636098366417615,-10,10.0,0.05
42,7000,Event -12,0.07481585876887697,-11,10.0,0.05
42,7000,Event -13,0.04771815731095324,-12,10.0,0.05
42,7000,Event -14,0.04781642549308514,-13,10.0,0.05
42,7000,Event -15,0.06469437266966607,-14,10.0,0.05
42,7000,Event -16,0.048143202956826774,-15,10.0,0.05
42,7000,Event -17,0.059801792022699515,-16,10.0,0.05
42,7000,Event -18,0.03305201027853266,-17,10.0,0.05
