Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,7000,Pressione (atm),-0.007108990540579452,0.0,0.05
42,7000,TOCeq (mg/l),0.07676972869842758,0.0,0.05
42,7000,DOCeq (mg/l),0.0,0.0,0.05
42,7000,Turbidity (FTU),1.1461932657256948,0.0,0.05
42,7000,Conductivity (uS/cm),0.20785351234769,0.0,0.05
42,7000,Temperature (°C),-0.13046961757871867,0.0,0.05
42,7000,pH,0.30535298453437065,0.0,0.05
42,7000,Free Chlorine (mg/l),0.14678281015819994,0.0,0.05
42,7000,nitrati,-0.02470105451250837,0.0,0.05
42,7000,UV254,-0.06477216046953971,0.0,0.05
42,7000,Pressione (atm),-0.007714637120565013,0.0,0.075
42,7000,TOCeq (mg/l),0.07247032059563552,0.0,0.075
42,7000,DOCeq (mg/l),0.0,0.0,0.075
42,7000,Turbidity (FTU),1.0703561769591443,0.0,0.075
42,7000,Conductivity (uS/cm),0.21623432579494553,0.0,0.075
42,7000,Temperature (°C),-0.12315052747726438,0.0,0.075
42,7000,pH,0.3079453561041093,0.0,0.075
42,7000,Free Chlorine (mg/l),0.139389539143396,0.0,0.075
42,7000,nitrati,-0.02629351634827901,0.0,0.075
42,7000,UV254,-0.07044947014914658,0.0,0.075
42,7000,Pruned Events,0.07711291086106153,0.0,0.075
42,7000,Pressione (atm),-0.007027335393995138,1.0,0.05
42,7000,TOCeq (mg/l),0.07309818097523313,1.0,0.05
42,7000,DOCeq (mg/l),0.0,1.0,0.05
42,7000,Turbidity (FTU),1.161317934308732,1.0,0.05
42,7000,Conductivity (uS/cm),0.20567413795561962,1.0,0.05
42,7000,Temperature (°C),-0.13197972774505662,1.0,0.05
42,7000,pH,0.2909034155663994,1.0,0.05
42,7000,Free Chlorine (mg/l),0.08886095058350385,1.0,0.05
42,7000,nitrati,-0.02330515725272042,1.0,0.05
42,7000,UV254,-0.06103961808340941,1.0,0.05
42,7000,Pressione (atm),-0.007853247816600722,1.0,0.075
42,7000,TOCeq (mg/l),0.06846405154182866,1.0,0.075
42,7000,DOCeq (mg/l),0.0,1.0,0.075
42,7000,Turbidity (FTU),1.0875342353941908,1.0,0.075
42,7000,Conductivity (uS/cm),0.21522473229302222,1.0,0.075
42,7000,Temperature (°C),-0.12922044651848993,1.0,0.075
42,7000,pH,0.2933768117238607,1.0,0.075
42,7000,Free Chlorine (mg/l),0.08211986526610336,1.0,0.075
42,7000,nitrati,-0.02535512106759193,1.0,0.075
42,7000,UV254,-0.06544138666183255,1.0,0.075
42,7000,Pruned Events,0.07765328675981609,1.0,0.075
42,7000,Pressione (atm),-0.007256856986453952,2.0,0.05
42,7000,TOCeq (mg/l),0.07521365994498885,2.0,0.05
42,7000,DOCeq (mg/l),0.0,2.0,0.05
42,7000,Turbidity (FTU),1.1731027234168279,2.0,0.05
42,7000,Conductivity (uS/cm),0.2111391975766128,2.0,0.05
42,7000,Temperature (°C),-0.1420029645874391,2.0,0.05
42,7000,pH,0.299404923688798,2.0,0.05
42,7000,Free Chlorine (mg/l),0.09521902231943069,2.0,0.05
42,7000,nitrati,-0.024461861451466893,2.0,0.05
42,7000,UV254,-0.07302704481851485,2.0,0.05
42,7000,Pressione (atm),-0.00792332528129466,2.0,0.075
42,7000,TOCeq (mg/l),0.07069664512361813,2.0,0.075
42,7000,DOCeq (mg/l),0.0,2.0,0.075
42,7000,Turbidity (FTU),1.1217345835670607,2.0,0.075
42,7000,Conductivity (uS/cm),0.2171689237867078,2.0,0.075
42,7000,Temperature (°C),-0.13789034230368502,2.0,0.075
42,7000,pH,0.299016042739626,2.0,0.075
42,7000,Free Chlorine (mg/l),0.0888787994309071,2.0,0.075
42,7000,nitrati,-0.026209023074498468,2.0,0.075
42,7000,UV254,-0.07657345173850935,2.0,0.075
42,7000,Pruned Events,0.05843194685285091,2.0,0.075
42,7000,Pressione (atm),-0.007411262724133394,3.0,0.05
42,7000,TOCeq (mg/l),0.0709350567015391,3.0,0.05
42,7000,DOCeq (mg/l),0.0,3.0,0.05
42,7000,Turbidity (FTU),1.143807539296527,3.0,0.05
