Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,0,4.76837158203125e-07,0.0
Sum of contribution of events ≤ t,0,1.655900001525879,0.0
Sum of contribution of events > t,-1,0.13059687614440918,0.0
Sum of contribution of events ≤ t,-1,1.525303602218628,0.0
Sum of contribution of events > t,-2,0.5750925540924072,0.0
Sum of contribution of events ≤ t,-2,1.0808079242706299,0.0
Sum of contribution of events > t,-3,0.7153079509735107,0.0
Sum of contribution of events ≤ t,-3,0.9405925273895264,0.0
Sum of contribution of events > t,-4,0.8157660961151123,0.0
Sum of contribution of events ≤ t,-4,0.8401343822479248,0.0
Sum of contribution of events > t,-5,0.9174606800079346,0.0
Sum of contribution of events ≤ t,-5,0.7384397983551025,0.0
Sum of contribution of events > t,-6,0.974097490310669,0.0
Sum of contribution of events ≤ t,-6,0.6818029880523682,0.0
Sum of contribution of events > t,-7,1.0447962284088135,0.0
Sum of contribution of events ≤ t,-7,0.6111042499542236,0.0
Sum of contribution of events > t,-8,1.0979068279266357,0.0
Sum of contribution of events ≤ t,-8,0.5579936504364014,0.0
Sum of contribution of events > t,-9,1.1488797664642334,0.0
Sum of contribution of events ≤ t,-9,0.5070207118988037,0.0
Sum of contribution of events > t,-10,1.1967580318450928,0.0
Sum of contribution of events ≤ t,-10,0.45914244651794434,0.0
Sum of contribution of events > t,-11,1.2498929500579834,0.0
Sum of contribution of events ≤ t,-11,0.4060075283050537,0.0
Sum of contribution of events > t,-12,1.2995893955230713,0.0
Sum of contribution of events ≤ t,-12,0.3563110828399658,0.0
Sum of contribution of events > t,-13,1.349125623703003,0.0
Sum of contribution of events ≤ t,-13,0.3067748546600342,0.0
Sum of contribution of events > t,-14,1.3922350406646729,0.0
Sum of contribution of events ≤ t,-14,0.26366543769836426,0.0
Sum of contribution of events > t,-15,1.43753981590271,0.0
Sum of contribution of events ≤ t,-15,0.21836066246032715,0.0
Sum of contribution of events > t,-16,1.478633165359497,0.0
Sum of contribution of events ≤ t,-16,0.17726731300354004,0.0
Sum of contribution of events > t,-17,1.5189244747161865,0.0
Sum of contribution of events ≤ t,-17,0.13697600364685059,0.0
Sum of contribution of events > t,-18,1.5844392776489258,0.0
Sum of contribution of events ≤ t,-18,0.07146120071411133,0.0
Sum of contribution of events > t,-19,1.655900001525879,0.0
Sum of contribution of events ≤ t,-19,4.76837158203125e-07,0.0
Sum of contribution of events > t,0,0.0,1.0
Sum of contribution of events ≤ t,0,1.5965027809143066,1.0
Sum of contribution of events > t,-1,0.09582352638244629,1.0
Sum of contribution of events ≤ t,-1,1.5006792545318604,1.0
Sum of contribution of events > t,-2,0.43949055671691895,1.0
Sum of contribution of events ≤ t,-2,1.1570122241973877,1.0
Sum of contribution of events > t,-3,0.6847727298736572,1.0
Sum of contribution of events ≤ t,-3,0.9117300510406494,1.0
Sum of contribution of events > t,-4,0.7696793079376221,1.0
Sum of contribution of events ≤ t,-4,0.8268234729766846,1.0
Sum of contribution of events > t,-5,0.8414895534515381,1.0
Sum of contribution of events ≤ t,-5,0.7550132274627686,1.0
Sum of contribution of events > t,-6,0.9235384464263916,1.0
Sum of contribution of events ≤ t,-6,0.672964334487915,1.0
Sum of contribution of events > t,-7,0.9743497371673584,1.0
Sum of contribution of events ≤ t,-7,0.6221530437469482,1.0
Sum of contribution of events > t,-8,1.0375831127166748,1.0
Sum of contribution of events ≤ t,-8,0.5589196681976318,1.0
Sum of contribution of events > t,-9,1.0882065296173096,1.0
Sum of contribution of events ≤ t,-9,0.5082962512969971,1.0
Sum of contribution of events > t,-10,1.1367218494415283,1.0
Sum of contribution of events ≤ t,-10,0.4597809314727783,1.0
Sum of contribution of events > t,-11,1.182666540145874,1.0
Sum of contribution of events ≤ t,-11,0.4138362407684326,1.0
Sum of contribution of events > t,-12,1.2351930141448975,1.0
Sum of contribution of events ≤ t,-12,0.3613097667694092,1.0
Sum of contribution of events > t,-13,1.2828209400177002,1.0
Sum of contribution of events ≤ t,-13,0.31368184089660645,1.0
Sum of contribution of events > t,-14,1.3306982517242432,1.0
Sum of contribution of events ≤ t,-14,0.2658045291900635,1.0
Sum of contribution of events > t,-15,1.3722472190856934,1.0
Sum of contribution of events ≤ t,-15,0.22425556182861328,1.0
Sum of contribution of events > t,-16,1.4144208431243896,1.0
Sum of contribution of events ≤ t,-16,0.182081937789917,1.0
Sum of contribution of events > t,-17,1.4599714279174805,1.0
Sum of contribution of events ≤ t,-17,0.13653135299682617,1.0
Sum of contribution of events > t,-18,1.5235230922698975,1.0
Sum of contribution of events ≤ t,-18,0.07297968864440918,1.0
Sum of contribution of events > t,-19,1.5965027809143066,1.0
Sum of contribution of events ≤ t,-19,0.0,1.0
